"group";"order";"family";"genus";"species";"area";"country";"from";"to";"period";"origin";"summary";"reference";"href"
"Echinoderms";"Ophiurida";"Ophiuridae";"Ophiura ";"Ophiura albida";"North East Atlantic Ocean";"Norway";2017;2017;"May and September 2017";"Seawater";"The 33.3% of individual (five out of 15) contained microplastics.";"Bour, A., Avio, C.G., Gorbi, S., Regoli, F. & Hylland, K. 2018. Presence of microplastics in benthic and epibenthic organisms: Influence of habitat, feeding mode and trophic level. Environmental Pollution, 243, 1217-1225";"https://doi.org/10.1016/j.envpol.2018.09.115"
"Echinoderms";"Spatangoida";"Brissidae";"Brissopsis ";"Brissopsis lyrifera";"North East Atlantic Ocean";"Norway";2017;2017;"May and September 2017";"Seawater";"The 40.0% of individual (eight out of 20) contained microplastics.";"Bour, A., Avio, C.G., Gorbi, S., Regoli, F. & Hylland, K. 2018. Presence of microplastics in benthic and epibenthic organisms: Influence of habitat, feeding mode and trophic level. Environmental Pollution, 243, 1217-1225";"https://doi.org/10.1016/j.envpol.2018.09.115"
"Marine Worm";"Phyllodocida";"Nereididae";"Hediste";"Hediste diversicolor";"North East Atlantic Ocean";"Norway";2017;2017;"May and September 2017";"Seawater";"The 40.0% of individual (eight out of 20) contained microplastics.";"Bour, A., Avio, C.G., Gorbi, S., Regoli, F. & Hylland, K. 2018. Presence of microplastics in benthic and epibenthic organisms: Influence of habitat, feeding mode and trophic level. Environmental Pollution, 243, 1217-1225";"https://doi.org/10.1016/j.envpol.2018.09.115"
"Echinoderms";"Amphilepidida ";"Amphiuridae";"Amphiura ";"Amphiura filiformis ";"North East Atlantic Ocean";"Norway";2017;2017;"May and September 2017";"Seawater";"The 20.0% of individual (two out of ten) contained microplastics.";"Bour, A., Avio, C.G., Gorbi, S., Regoli, F. & Hylland, K. 2018. Presence of microplastics in benthic and epibenthic organisms: Influence of habitat, feeding mode and trophic level. Environmental Pollution, 243, 1217-1225";"https://doi.org/10.1016/j.envpol.2018.09.115"
"Marine Worm";"Sabellida";"Sabellidae";"Sabella";"Sabella pavonina";"North East Atlantic Ocean";"Norway";2017;2017;"May and September 2017";"Seawater";"The 25.0% of individual (five out of 20) contained microplastics.";"Bour, A., Avio, C.G., Gorbi, S., Regoli, F. & Hylland, K. 2018. Presence of microplastics in benthic and epibenthic organisms: Influence of habitat, feeding mode and trophic level. Environmental Pollution, 243, 1217-1225";"https://doi.org/10.1016/j.envpol.2018.09.115"
"Crustacean (Marine)";"Decapoda";"Crangonidae ";"Crangon";"Crangon allmanni";"North East Atlantic Ocean";"Norway";2017;2017;"May and September 2017";"Seawater";"The 65.0% of individual (13 out of 20) contained microplastics.";"Bour, A., Avio, C.G., Gorbi, S., Regoli, F. & Hylland, K. 2018. Presence of microplastics in benthic and epibenthic organisms: Influence of habitat, feeding mode and trophic level. Environmental Pollution, 243, 1217-1225";"https://doi.org/10.1016/j.envpol.2018.09.115"
"Marine Fish";"Pleuronectiformes";"Pleuronectidae";"Hippoglossoides";"Hippoglossoides platessoides";"North East Atlantic Ocean";"Norway";2017;2017;"May and September 2017";"Seawater";"The 55.0% of individual (11 out of 20) contained microplastics.";"Bour, A., Avio, C.G., Gorbi, S., Regoli, F. & Hylland, K. 2018. Presence of microplastics in benthic and epibenthic organisms: Influence of habitat, feeding mode and trophic level. Environmental Pollution, 243, 1217-1225";"https://doi.org/10.1016/j.envpol.2018.09.115"
"Marine Fish";"Gadiformes";"Lotidae";"Enchelyopus";"Enchelyopus cimbrius";"North East Atlantic Ocean";"Norway";2017;2017;"May and September 2017";"Seawater";"The 5.9% of individual (one out of 17) contained microplastics.";"Bour, A., Avio, C.G., Gorbi, S., Regoli, F. & Hylland, K. 2018. Presence of microplastics in benthic and epibenthic organisms: Influence of habitat, feeding mode and trophic level. Environmental Pollution, 243, 1217-1225";"https://doi.org/10.1016/j.envpol.2018.09.115"
"Marine Fish";"Gadiformes";"Gadidae";"Trisopterus";"Trisopterus esmarkii";"North East Atlantic Ocean";"Norway";2017;2017;"May and September 2017";"Seawater";"The 25.0% of individual (five out of 20) contained microplastics.";"Bour, A., Avio, C.G., Gorbi, S., Regoli, F. & Hylland, K. 2018. Presence of microplastics in benthic and epibenthic organisms: Influence of habitat, feeding mode and trophic level. Environmental Pollution, 243, 1217-1225";"https://doi.org/10.1016/j.envpol.2018.09.115"
"Freshwater Fish";"Salmoniformes";"Salmonidae";"Oncorhynchus ";"Oncorhynchus tshawytscha";"North East Pacific Ocean";"Canada";2015;2015;"June and July 2015";"Freshwater";"The 59% of fish (44 out of 74) contained microplastics and more than 90% were fibers.";"Collicutt, B., Juanes, F. & Dudas, S.E. 2019. Microplastics in juvenile Chinook salmon and their nearshore environments on the east coast of Vancouver Island. Environmental Pollution, 244, 135-142";"https://doi.org/10.1016/j.envpol.2018.09.137"
"Echinoderms";"Ophiurida ";"Ophiosphalmidae";"Ophiomusium";"Ophiomusium lymani";"North East Atlantic Ocean";"UK";1976;2015;"1976, 1980, 1985, 1990, 1995, 2013 and 2015";"Seawater";"The 40,0% of individuals (36 out of 90) across all years contained microplastics.";"Courtene-Jones, W., Quinn, B., Ewins, C., Gary, S.F. & Narayanaswamy, B.E. 2019. Consistent microplastic ingestion by deep-sea invertebrates over the last four decades (1976–2015), a study from the North East Atlantic. Environmental Pollution, 244, 503-512";"https://doi.org/10.1016/j.envpol.2018.10.090"
"Echinoderms";"Velatida ";"Pterasteridae";"Hymenaster";"Hymenaster pellucidus";"North East Atlantic Ocean";"UK";1976;2015;"1976, 1980, 1985, 1990, 1995, 2013 and 2015";"Seawater";"The 22,2% of individuals (14 out of 63) across all years contained microplastics";"Courtene-Jones, W., Quinn, B., Ewins, C., Gary, S.F. & Narayanaswamy, B.E. 2019. Consistent microplastic ingestion by deep-sea invertebrates over the last four decades (1976–2015), a study from the North East Atlantic. Environmental Pollution, 244, 503-512";"https://doi.org/10.1016/j.envpol.2018.10.090"
"Freshwater Fish";"Cypriniformes";"Cyprinidae";"Gobio";"Gobio gobio";"North Sea";"Belgium";2015;2015;"From 8th April to 20th November 2015";"Freshwater";"The 9% of the fish (seven out of 78) contained microplastics in their guts.";"Slootmaekers, B., Carteny, C.C., Belpaire, C., Saverwyns, S., Fremout, W., Blust, R. & Bervoets, L. 2019. Microplastic contamination in gudgeons (Gobio gobio) from Flemish rivers (Belgium). Environmental Pollution, 244, 675-684";"https://doi.org/10.1016/j.envpol.2018.09.136"
"Zooplankton (Freshwater)";"Anostraca";"Artemiidae ";"Artemia ";"Artemia parthenogenetica";"South East Asia";"China";2018;2018;"Previous to 2018";"Laboratory Experiment";"Laboratory experiment on effects of micrpolastic ingestion";"Wang, Y., Zhang, D., Zhang, M., Mu, J., Ding, G., Mao, Z., Cao, Y., Jin, F., Cong, Y., Wang, L., Zhang, W. & Wang, J. 2019. Effects of ingested polystyrene microplastics on brine shrimp, Artemia parthenogenetica. Environmental Pollution, 244, 715-722";"https://doi.org/10.1016/j.envpol.2018.10.024"
"Freshwater Fish";"Characiformes ";"Serrasalmidae";"Acnodon ";"Acnodon normani";"Central Southamerica";"Brazil";2012;2014;"From July 2012 to November 2014";"Seawater";"The 25.0% of fish (one out of four) contained microplastics. A total of one microplastic particle was reported";"Andrade, M.C., Winemiller, K.O., Barbosa, P.S., Fortunati, A., Chelazzi, D., Cincinelli, A. & Giarrizzo, T. 2019. First account of plastic pollution impacting freshwater fishes in the Amazon: Ingestion of plastic debris by piranhas and other serrasalmids with diverse feeding habits. Environmental Pollution, 244, 766-773";"https://doi.org/10.1016/j.envpol.2018.10.088"
"Freshwater Fish";"Characiformes ";"Serrasalmidae";"Metynnis ";"Metynnis guaporensis";"Central Southamerica";"Brazil";2012;2014;"From July 2012 to November 2014";"Seawater";"The 27.3% of fish (three out of 11) contained microplastics. A total of three microplastic particles were reported";"Andrade, M.C., Winemiller, K.O., Barbosa, P.S., Fortunati, A., Chelazzi, D., Cincinelli, A. & Giarrizzo, T. 2019. First account of plastic pollution impacting freshwater fishes in the Amazon: Ingestion of plastic debris by piranhas and other serrasalmids with diverse feeding habits. Environmental Pollution, 244, 766-773";"https://doi.org/10.1016/j.envpol.2018.10.088"
"Freshwater Fish";"Characiformes ";"Serrasalmidae";"Myloplus ";"Myloplus rhomboidalis";"Central Southamerica";"Brazil";2012;2014;"From July 2012 to November 2014";"Seawater";"All fish (n=1) contained microplastics. A total of two microplastic particles were reported";"Andrade, M.C., Winemiller, K.O., Barbosa, P.S., Fortunati, A., Chelazzi, D., Cincinelli, A. & Giarrizzo, T. 2019. First account of plastic pollution impacting freshwater fishes in the Amazon: Ingestion of plastic debris by piranhas and other serrasalmids with diverse feeding habits. Environmental Pollution, 244, 766-773";"https://doi.org/10.1016/j.envpol.2018.10.088"
"Freshwater Fish";"Characiformes ";"Serrasalmidae";"Myloplus ";"Myloplus rubripinnis";"Central Southamerica";"Brazil";2012;2014;"From July 2012 to November 2014";"Seawater";"The 13.3% of fish (two out of 15) contained microplastics. A total of five microplastic particles were reported";"Andrade, M.C., Winemiller, K.O., Barbosa, P.S., Fortunati, A., Chelazzi, D., Cincinelli, A. & Giarrizzo, T. 2019. First account of plastic pollution impacting freshwater fishes in the Amazon: Ingestion of plastic debris by piranhas and other serrasalmids with diverse feeding habits. Environmental Pollution, 244, 766-773";"https://doi.org/10.1016/j.envpol.2018.10.088"
"Freshwater Fish";"Characiformes ";"Serrasalmidae";"Myloplus ";"Myloplus schomburgkii";"Central Southamerica";"Brazil";2012;2014;"From July 2012 to November 2014";"Seawater";"The 16.7% of fish (one out of six) contained microplastics. A total of two microplastic particles were reported";"Andrade, M.C., Winemiller, K.O., Barbosa, P.S., Fortunati, A., Chelazzi, D., Cincinelli, A. & Giarrizzo, T. 2019. First account of plastic pollution impacting freshwater fishes in the Amazon: Ingestion of plastic debris by piranhas and other serrasalmids with diverse feeding habits. Environmental Pollution, 244, 766-773";"https://doi.org/10.1016/j.envpol.2018.10.088"
"Freshwater Fish";"Characiformes ";"Serrasalmidae";"Ossubtus ";"Ossubtus xinguense";"Central Southamerica";"Brazil";2012;2014;"From July 2012 to November 2014";"Seawater";"The 52.6% of fish (ten out of 19) contained microplastics. A total of 42 microplastic particles were reported";"Andrade, M.C., Winemiller, K.O., Barbosa, P.S., Fortunati, A., Chelazzi, D., Cincinelli, A. & Giarrizzo, T. 2019. First account of plastic pollution impacting freshwater fishes in the Amazon: Ingestion of plastic debris by piranhas and other serrasalmids with diverse feeding habits. Environmental Pollution, 244, 766-773";"https://doi.org/10.1016/j.envpol.2018.10.088"
"Freshwater Fish";"Characiformes ";"Serrasalmidae";"Pristobrycon ";"Pristobrycon scapularis";"Central Southamerica";"Brazil";2012;2014;"From July 2012 to November 2014";"Seawater";"The 42.9% of fish (six out of 14) contained microplastics. A total of eight microplastic particles were reported";"Andrade, M.C., Winemiller, K.O., Barbosa, P.S., Fortunati, A., Chelazzi, D., Cincinelli, A. & Giarrizzo, T. 2019. First account of plastic pollution impacting freshwater fishes in the Amazon: Ingestion of plastic debris by piranhas and other serrasalmids with diverse feeding habits. Environmental Pollution, 244, 766-773";"https://doi.org/10.1016/j.envpol.2018.10.088"
"Freshwater Fish";"Characiformes ";"Serrasalmidae";"Pristobrycon ";"Pristobrycon eigenmanni";"Central Southamerica";"Brazil";2012;2014;"From July 2012 to November 2014";"Seawater";"The 33.3% of fish (two out of six) contained microplastics. A total of two microplastic particles were reported";"Andrade, M.C., Winemiller, K.O., Barbosa, P.S., Fortunati, A., Chelazzi, D., Cincinelli, A. & Giarrizzo, T. 2019. First account of plastic pollution impacting freshwater fishes in the Amazon: Ingestion of plastic debris by piranhas and other serrasalmids with diverse feeding habits. Environmental Pollution, 244, 766-773";"https://doi.org/10.1016/j.envpol.2018.10.088"
"Freshwater Fish";"Characiformes ";"Serrasalmidae";"Pygocentrus ";"Pygocentrus nattereri";"Central Southamerica";"Brazil";2012;2014;"From July 2012 to November 2014";"Seawater";"The 75.0% of fish (three out of four) contained microplastics. A total of three microplastic particles were reported";"Andrade, M.C., Winemiller, K.O., Barbosa, P.S., Fortunati, A., Chelazzi, D., Cincinelli, A. & Giarrizzo, T. 2019. First account of plastic pollution impacting freshwater fishes in the Amazon: Ingestion of plastic debris by piranhas and other serrasalmids with diverse feeding habits. Environmental Pollution, 244, 766-773";"https://doi.org/10.1016/j.envpol.2018.10.088"
"Freshwater Fish";"Characiformes ";"Serrasalmidae";"Serrasalmus ";"Serrasalmus manueli";"Central Southamerica";"Brazil";2012;2014;"From July 2012 to November 2014";"Seawater";"The 14.3% of fish (one out of seven) contained microplastics. Only one microplastic particles was reported";"Andrade, M.C., Winemiller, K.O., Barbosa, P.S., Fortunati, A., Chelazzi, D., Cincinelli, A. & Giarrizzo, T. 2019. First account of plastic pollution impacting freshwater fishes in the Amazon: Ingestion of plastic debris by piranhas and other serrasalmids with diverse feeding habits. Environmental Pollution, 244, 766-773";"https://doi.org/10.1016/j.envpol.2018.10.088"
"Freshwater Fish";"Characiformes ";"Serrasalmidae";"Serrasalmus ";"Serrasalmus rhombeus";"Central Southamerica";"Brazil";2012;2014;"From July 2012 to November 2014";"Seawater";"The 22.2% of fish (two out of nine) contained microplastics. A total of three microplastic particles were reported";"Andrade, M.C., Winemiller, K.O., Barbosa, P.S., Fortunati, A., Chelazzi, D., Cincinelli, A. & Giarrizzo, T. 2019. First account of plastic pollution impacting freshwater fishes in the Amazon: Ingestion of plastic debris by piranhas and other serrasalmids with diverse feeding habits. Environmental Pollution, 244, 766-773";"https://doi.org/10.1016/j.envpol.2018.10.088"
"Freshwater Fish";"Characiformes ";"Serrasalmidae";"Tometes ";"Tometes ancylorhynchus";"Central Southamerica";"Brazil";2012;2014;"From July 2012 to November 2014";"Seawater";"The 40.0% of fish (two out of five) contained microplastics. A total of three microplastic particles were reported";"Andrade, M.C., Winemiller, K.O., Barbosa, P.S., Fortunati, A., Chelazzi, D., Cincinelli, A. & Giarrizzo, T. 2019. First account of plastic pollution impacting freshwater fishes in the Amazon: Ingestion of plastic debris by piranhas and other serrasalmids with diverse feeding habits. Environmental Pollution, 244, 766-773";"https://doi.org/10.1016/j.envpol.2018.10.088"
"Freshwater Fish";"Characiformes ";"Serrasalmidae";"Tometes ";"Tometes kranponhah";"Central Southamerica";"Brazil";2012;2014;"From July 2012 to November 2014";"Seawater";"The 19.0% of fish (12 out of 63) contained microplastics. A total of 21 microplastic particles were reported";"Andrade, M.C., Winemiller, K.O., Barbosa, P.S., Fortunati, A., Chelazzi, D., Cincinelli, A. & Giarrizzo, T. 2019. First account of plastic pollution impacting freshwater fishes in the Amazon: Ingestion of plastic debris by piranhas and other serrasalmids with diverse feeding habits. Environmental Pollution, 244, 766-773";"https://doi.org/10.1016/j.envpol.2018.10.088"
"Mollusks (Marine Bivalves)";"Mytilida ";"Mytilidae";"Mytilus";"Mytilus galloprovincialis";"North East Atlantic Ocean";"Portugal";2016;2016;"From April to September 2016";"Laboratory Experiment";"Laboratory experiment";"Gonçalves, C., Martins, M., Sobral, P., Costa, P.M. & Costa, M.H. 2019. An assessment of the ability to ingest and excrete microplastics by filter-feeders: a case study with the Mediterranean mussel. Environmental Pollution, 245, 600-606";"https://doi.org/10.1016/j.envpol.2018.11.038"
"Zooplankton (Freshwater)";"Anomopoda";"Daphniidae";"Daphnia ";"Daphnia magna";"South East Asia";"China";2018;2018;"Previous to 2018";"Laboratory Experiment";"Laboratory experiment";"Wu, J., Jiang, R., Lin, W. & Ouyang, G. 2019. Effect of salinity and humic acid on the aggregation and toxicity of polystyrene nanoplastics with different functional groups and charges. Environmental Pollution, 245, 836-843";"https://doi.org/10.1016/j.envpol.2018.11.055"
"Mollusks (Marine Bivalves)";"Mytilida ";"Mytilidae";"Mytilus";"Mytilus edulis";"North West Europe";"UK";2018;2018;"Previous to 2018";"Laboratory Experiment";"Laboratory experiment";"Green, D.S., Colgan, T.J., Thompson, R.C. & Carolan, J.C. 2019. Exposure to microplastics reduces attachment strength and alters the haemolymph proteome of blue mussels (Mytilus edulis). Environmental Pollution, 246, 423-434";"https://doi.org/10.1016/j.envpol.2018.12.017"
