"group";"order";"family";"genus";"species";"area";"country";"from";"to";"period";"origin";"summary";"reference";"href"
"Marine Reptil";"Testudines";"Cheloniidae";"Caretta";"Caretta caretta";"South West Indian Ocean";"Reunion Island (French overseas)";2007;2013;"From January 2007 to January 2013";"Seawater";"A total of nine out of 21 individuals contained marine debris in their gastrointestinal tract. A total of 23 out of 29 faeces contained marine debris. The 96.2% of the items were identified as plastic.";"Hoarau, L., Ainley, L., Jean, C. & Ciccione, S. 2014. Ingestion and defecation of marine debris by loggerhead sea turtles, Caretta caretta, from by-catches in the South-West Indian Ocean. Marine Pollution Bulletin, 84(1-2), 90-96.";"https://doi.org/10.1016/j.marpolbul.2014.05.031"
"Seabirds";"Procellariiformes ";"Procellariidae";"Fulmarus";"Fulmarus glacialis";"North East North Atlantic Ocean";"Faroe Islands (Denmark)";1997;1997;"In 1997";"Seawater";"A total of 18 out of 35 individuals (51%) were reported to ingest plastic items.";"Provencher, J.F., Bond, A.L., Hedd, A., Montevecchi, W.A., Muzaffar, S.B., Courchesne, S.J., Gilchrist, H.G., Jamieson, S.E., Merkel, F.R., Falk, K., Durinck, J. & Mallory, M.L. 2014. Prevalence of marine debris in marine birds from the North Atlantic. Marine Pollution Bulletin, 84(1-2), 411-417.";"https://doi.org/10.1016/j.marpolbul.2014.04.044"
"Seabirds";"Charadriiformes";"Alcidae";"Fratercula";"Fratercula arctica";"North West North Atlantic Ocean";"Canada";1999;2004;"1999 and 2004";"Seawater";"One out of 16 individuals (7%) were reported to ingest plastic items. Two individuals were collected in 1999 and no debris was found,";"Provencher, J.F., Bond, A.L., Hedd, A., Montevecchi, W.A., Muzaffar, S.B., Courchesne, S.J., Gilchrist, H.G., Jamieson, S.E., Merkel, F.R., Falk, K., Durinck, J. & Mallory, M.L. 2014. Prevalence of marine debris in marine birds from the North Atlantic. Marine Pollution Bulletin, 84(1-2), 411-417.";"https://doi.org/10.1016/j.marpolbul.2014.04.044"
"Seabirds";"Charadriiformes";"Laridae";"Larus";"Larus dominicanus";"South West South Atlantic Ocean";"Argentina";2013;2013;"6th, 15th and 16th October, 4th, 5th, 6th, 13th, 14th 15th and 30th November, and 1st and 3rd December 2013";"Seawater";"Four out of 22 individuals found dead had fishing hooks and lines in their digestive tracts.  ";"Yorio, P., Marinao, C. & Suárez, N. 2014. Kelp Gulls (Larus dominicanus) killed and injured by discarded monofilament lines at a marine recreational fishery in northern Patagonia. Marine Pollution Bulletin, 85(1), 186-189.";"https://doi.org/10.1016/j.marpolbul.2014.05.052"
"Seabirds";"Procellariiformes ";"Procellariidae";"Fulmarus";"Fulmarus rodgersii";"East North Pacific Ocean";"USA";2003;2007;"From November to January 2002-2004, and from November to December 2007";"Seawater";"A total of 133 out of 178 individuals (75%) collected in 2003-2004 contained plastic items in their digestive tracts. A total of 181 out of 185 individuals (98%) collected in 2007 contained plastic items in their digestive tracts. ";"Donnelly-Greenan, E.L., Harvey, J.T., Nevins, H.M., Hester, M.M. & Walker, W.A. 2014. Prey and plastic ingestion of Pacific northern fulmars (Fulmarus glacialis rogersii) from Monterey Bay, California. Marine Pollution Bulletin, 85(1), 214-224.";"https://doi.org/10.1016/j.marpolbul.2014.05.046"
"Marine Reptil";"Testudines";"Cheloniidae";"Caretta";"Caretta caretta";"Macaronesia";"Azores (Portugal)";2004;2008;"13th September 2004, 2nd February 2008, and 25th October 2008";"Seawater";"A dead individual contained a fishing long line in its gastrointestinal tract (25/10/2008). Other two entangled animals were released.";"Barreiros, J.P. & Raykov, V.S. 2014. Lethal lesions and amputation caused by plastic debris and fishing gear on the loggerhead turtle Caretta caretta (Linnaeus, 1758). Three case reports from Terceira Island, Azores (NE Atlantic). Marine Pollution Bulletin, 86(1-2), 518-522.";"https://doi.org/10.1016/j.marpolbul.2014.07.020"
"Seabirds";"Procellariiformes ";"Procellariidae";"Fulmarus";"Fulmarus glacialis";"North West North Atlantic Ocean";"Canada";2001;2012;"From 2001 to 2012";"Seawater";"A total of 164 out of 176 individuals (93.2%) contained plastic in their gastrointestinal tracts.";"Bond, A.L., Provencher, J.F., Daoust, P.Y. & Lucas, Z.N. 2014. Plastic ingestion by fulmars and shearwaters at Sable Island, Nova Scotia, Canada. Marine Pollution Bulletin, 87(1-2), 68-75.";"https://doi.org/10.1016/j.marpolbul.2014.08.010"
"Seabirds";"Procellariiformes ";"Procellariidae";"Puffinus";"Puffinus gravis";"North West North Atlantic Ocean";"Canada";2000;2011;"In 2000, and from 2004 to 2011";"Seawater";"A total of 74 out of 84 individuals (88.1%) contained plastic in their digestive tracts.";"Bond, A.L., Provencher, J.F., Daoust, P.Y. & Lucas, Z.N. 2014. Plastic ingestion by fulmars and shearwaters at Sable Island, Nova Scotia, Canada. Marine Pollution Bulletin, 87(1-2), 68-75.";"https://doi.org/10.1016/j.marpolbul.2014.08.010"
"Seabirds";"Procellariiformes ";"Procellariidae";"Puffinus";"Puffinus griseus";"North West North Atlantic Ocean";"Canada";2000;2011;"From 2000 to 2001, and from 2004 to 2011";"Seawater";"A total of 36 out of 50 individuals (72%)contained plastic in their digestive tracts.";"Bond, A.L., Provencher, J.F., Daoust, P.Y. & Lucas, Z.N. 2014. Plastic ingestion by fulmars and shearwaters at Sable Island, Nova Scotia, Canada. Marine Pollution Bulletin, 87(1-2), 68-75.";"https://doi.org/10.1016/j.marpolbul.2014.08.010"
"Seabirds";"Procellariiformes ";"Diomedeidae";"Phoebastria ";"Phoebastria immutabilis";"Central North Pacific Ocean";"Hawaii (USA)";2005;2005;"From April to June 2005";"Seawater";"A total of 24 pellets/boluses were investigate. There were selected 200 large plastic items and fragments of foam (n=44), sheet (n=6), line (n=10), and nurdles (n=11). ";"Nilsen, F., Hyrenbach, K.D., Fang, J. & Jensen, B. 2014. Use of indicator chemicals to characterize the plastic fragments ingested by Laysan albatross. Marine Pollution Bulletin, 87(1-2), 230-236.";"https://doi.org/10.1016/j.marpolbul.2014.07.055"
"Marine Fish";"Scombriformes";"Trichiuridae";"Trichiurus ";"Trichiurus lepturus";"West South Atlantic Ocean";"Brazil";2014;2014;"Previous to 2014";"Seawater";"Only one out of 149 individuals (0.7%) contained marine debris inthe gastrointestinal tracts. A cigarette bud was reported.";"Nilsen, F., Hyrenbach, K.D., Fang, J. & Jensen, B. 2014. Use of indicator chemicals to characterize the plastic fragments ingested by Laysan albatross. Marine Pollution Bulletin, 87(1-2), 230-236.";"https://doi.org/10.1016/j.marpolbul.2014.07.055"
"Marine Reptil";"Testudines";"Cheloniidae";"Chelonia";"Chelonia mydas";"West South Atlantic Ocean";"Brazil";2014;2014;"Previous to 2014";"Seawater";"A total of 29 out of 49 individuals (59.2%) contained marine debris in their stomachs. Thirteen different types of debris were reported.";"Nilsen, F., Hyrenbach, K.D., Fang, J. & Jensen, B. 2014. Use of indicator chemicals to characterize the plastic fragments ingested by Laysan albatross. Marine Pollution Bulletin, 87(1-2), 230-236.";"https://doi.org/10.1016/j.marpolbul.2014.07.055"
"Marine Mammal";"Cetartiodactyla ";"Delphinidae";"Pontoporia";"Pontoporia blainvillei";"West South Atlantic Ocean";"Brazil";2014;2014;"Previous to 2014";"Seawater";"A total of 14 out of 89 individuals (15.7%) contained marine debris in their digestive tracts. Only flexible plastic (n=4) and nylon filaments (n=10) were reported.";"Nilsen, F., Hyrenbach, K.D., Fang, J. & Jensen, B. 2014. Use of indicator chemicals to characterize the plastic fragments ingested by Laysan albatross. Marine Pollution Bulletin, 87(1-2), 230-236.";"https://doi.org/10.1016/j.marpolbul.2014.07.055"
"Marine Mammal";"Cetartiodactyla ";"Delphinidae";"Sotalia";"Sotalia guianensis";"West South Atlantic Ocean";"Brazil";2014;2014;"Previous to 2014";"Seawater";"Only one out of 77 individuals (1.3%) contained marine debris inthe gastrointestinal tracts. A nylon filament was reported.";"Nilsen, F., Hyrenbach, K.D., Fang, J. & Jensen, B. 2014. Use of indicator chemicals to characterize the plastic fragments ingested by Laysan albatross. Marine Pollution Bulletin, 87(1-2), 230-236.";"https://doi.org/10.1016/j.marpolbul.2014.07.055"
"Seabirds";"Charadriiformes";"Alcidae";"Alle";"Alle alle";"North West North Atlantic Ocean";"Canada";2013;2013;"January 2013";"Seawater";"A total of nine out of 65 individuals (14%) contained plastic items in their gastrointestinal tract. Debris consisted of either small, unidentifiable fragments, or bits of nylon fishing line.";"Fife, D.T., Robertson, G.J., Shutler, D., Braune, B.M. & Mallory, M.L. 2015. Trace elements and ingested plastic debris in wintering dovekies (Alle alle). Marine Pollution Bulletin, 91(1), 368-371.";"https://doi.org/10.1016/j.marpolbul.2014.11.029"
"Marine Reptil";"Testudines";"Cheloniidae";"Chelonia";"Chelonia mydas";"West South Atlantic Ocean";"Brazil";2008;2009;"From August 2008 to July 2009";"Seawater";"A total of nine out of 20 individuals (45%) contained plastic in their gastrointestinal tract. Soft plastic occurred a 54.3%followed by nylon (21.4%) and hard plastic (19%).";"da Silva Mendes, S., de Carvalho, R.H., de Faria, A.F. & de Sousa, B.M. 2015. Marine debris ingestion by Chelonia mydas (Testudines: Cheloniidae) on the Brazilian coast. Marine Pollution Bulletin, 92(1-2), 8-10.";"https://doi.org/10.1016/j.marpolbul.2015.01.010"
"Seabirds";"Procellariiformes ";"Diomedeidae";"Phoebastria ";"Phoebastria immutabilis";"Central North Pacific Ocean";"Hawaii (USA)";2015;2015;"Previous to 2015";"Seawater";"Debris extracted from the carcass of a Laysan Albatross chick (Courtesy of Claire Fackler, NOAA Marine Sanctuaries/Marine Photobank) - Fig. 1";"Gall, S.C. and Thompson, R.C. 2015. The impact of debris on marine life. Marine Pollution Bulletin 92(1-2), 170-179.";"https://doi.org/10.1016/j.marpolbul.2014.12.041"
"Marine Reptil";"Testudines";"Cheloniidae";"Chelonia";"Chelonia mydas";"West South Atlantic Ocean";"Brazil";2009;2013;"From 2009 to 2013";"Seawater";"Approximately 70% of the 265 turtles examined had ingested debris. The debris ingestion rate (FO%) varying from 60% to 100%.";"Santos, R.G., Andrades, R., Boldrini, M.A. & Martins, A.S. 2015. Debris ingestion by juvenile marine turtles: an underestimated problem. Marine Pollution Bulletin, 93(1-2), 37-43.";"https://doi.org/10.1016/j.marpolbul.2015.02.022"
"Marine Reptil";"Testudines";"Cheloniidae";"Chelonia";"Chelonia mydas";"West Atlantic Ocean";"Brazil";2010;2011;"From January 2010 to July 2011";"Seawater";"All individuals investigated (n=10) contained debris in their digestive tracts";"de Macêdo, G.R., Tarantino, T.B., Barbosa, I.S., Pires, T.T., Rostan, G., Goldberg, D.W., Pinto, L.F.B., Korn, M.G.A. & Franke, C.R. 2015. Trace elements distribution in hawksbill turtle (Eretmochelys imbricata) and green turtle (Chelonia mydas) tissues on the northern coast of Bahia, Brazil. Marine Pollution Bulletin, 94(1-2), 284-289.";"https://doi.org/10.1016/j.marpolbul.2015.02.033"
"Marine Reptil";"Testudines";"Cheloniidae";"Eretmochelys";"Eretmochelys imbricata";"West Atlantic Ocean";"Brazil";2010;2011;"From January 2010 to July 2011";"Seawater";"A total of 11 out of 16 individuals (68.8%) contained debris in their gastrointestinal tract.";"de Macêdo, G.R., Tarantino, T.B., Barbosa, I.S., Pires, T.T., Rostan, G., Goldberg, D.W., Pinto, L.F.B., Korn, M.G.A. & Franke, C.R. 2015. Trace elements distribution in hawksbill turtle (Eretmochelys imbricata) and green turtle (Chelonia mydas) tissues on the northern coast of Bahia, Brazil. Marine Pollution Bulletin, 94(1-2), 284-289.";"https://doi.org/10.1016/j.marpolbul.2015.02.033"
"Marine Mammal";"Cetartiodactyla ";"Balaenopteridae";"Megaptera";"Megaptera novaeangliae";"North Sea";"The Netherlands";2012;2012;"12th December 2012";"Seawater";"A total of 45 particles of possible synthetic origin was found in the gastrointestinal tract samples. A total of 45.7% had a synthetic origin.";"Besseling, E., Foekema, E.M., Van Franeker, J.A., Leopold, M.F., Kühn, S., Rebolledo, E.L.B., Heße, E., Mielke, L., Ijzer, J., Kamminga, P. & Koelmans, A.A. 2015. Microplastic in a macro filter feeder: humpback whale Megaptera novaeangliae. Marine Pollution Bulletin, 95(1), 248-252.";"https://doi.org/10.1016/j.marpolbul.2015.04.007"
"Marine Fish";"Carangiformes";"Xiphiidae";"Xiphias";"Xiphias gladius";"Central Mediterranean Sea";"Italy";2012;2013;"From 2012 to 2013";"Seawater";"A total of seven out of 56 individuals (12.5%) contained lastic in their stomachs.";"Romeo, T., Pietro, B., Pedà, C., Consoli, P., Andaloro, F. & Fossi, M.C. 2015. First evidence of presence of plastic debris in stomach of large pelagic fish in the Mediterranean Sea. Marine Pollution Bulletin, 95(1), 358-361.";"https://doi.org/10.1016/j.marpolbul.2015.04.048"
"Marine Fish";"Scombriformes";"Scombridae";"Thunnus ";"Thunnus thynnus";"Central Mediterranean Sea";"Italy";2012;2013;"From 2012 to 2013";"Seawater";"A total of 11 out of 34 individuals (32.4%) contained lastic in their stomachs.";"Romeo, T., Pietro, B., Pedà, C., Consoli, P., Andaloro, F. & Fossi, M.C. 2015. First evidence of presence of plastic debris in stomach of large pelagic fish in the Mediterranean Sea. Marine Pollution Bulletin, 95(1), 358-361.";"https://doi.org/10.1016/j.marpolbul.2015.04.048"
"Marine Fish";"Scombriformes";"Scombridae";"Thunnus ";"Thunnus alalunga";"Central Mediterranean Sea";"Italy";2012;2013;"From 2012 to 2013";"Seawater";"A total of four out of 31 individuals (12.9%) contained lastic in their stomachs.";"Romeo, T., Pietro, B., Pedà, C., Consoli, P., Andaloro, F. & Fossi, M.C. 2015. First evidence of presence of plastic debris in stomach of large pelagic fish in the Mediterranean Sea. Marine Pollution Bulletin, 95(1), 358-361.";"https://doi.org/10.1016/j.marpolbul.2015.04.048"
"Seabirds";"Procellariiformes ";"Diomedeidae";"Diomedea ";"Diomedea sanfordi";"South West South Atlantic Ocean";"Uruguay";2005;2013;"From 2005 to 2012 in commercial vessels, from 2009 to 2013 in research vessels.";"Seawater";"A total of 14 out of 36 individuals (38.9%) contained debris in their stomachs. 25 of them were plastic, and one a fishing hook.";"Jiménez, S., Domingo, A., Brazeiro, A., Defeo, O. & Phillips, R.A. 2015. Marine debris ingestion by albatrosses in the southwest Atlantic Ocean. Marine Pollution Bulletin, 96(1-2), 149-154.";"https://doi.org/10.1016/j.marpolbul.2015.05.034"
"Seabirds";"Procellariiformes ";"Diomedeidae";"Diomedea ";"Diomedea epomophora";"South West South Atlantic Ocean";"Uruguay";2005;2013;"From 2005 to 2012 in commercial vessels, from 2009 to 2013 in research vessels.";"Seawater";"A total of four out of 23 individuals (17.4%) contained debris in their stomachs. Five plastic fragments were recorded.";"Jiménez, S., Domingo, A., Brazeiro, A., Defeo, O. & Phillips, R.A. 2015. Marine debris ingestion by albatrosses in the southwest Atlantic Ocean. Marine Pollution Bulletin, 96(1-2), 149-154.";"https://doi.org/10.1016/j.marpolbul.2015.05.034"
"Seabirds";"Procellariiformes ";"Diomedeidae";"Diomedea ";"Diomedea dabbenena";"South West South Atlantic Ocean";"Uruguay";2005;2013;"From 2005 to 2012 in commercial vessels, from 2009 to 2013 in research vessels.";"Seawater";"A total of two out of six individuals (33.3%) contained debris in their stomachs. Four of them were plastic, two were nylon lines, and one a piece of wood.";"Jiménez, S., Domingo, A., Brazeiro, A., Defeo, O. & Phillips, R.A. 2015. Marine debris ingestion by albatrosses in the southwest Atlantic Ocean. Marine Pollution Bulletin, 96(1-2), 149-154.";"https://doi.org/10.1016/j.marpolbul.2015.05.034"
"Seabirds";"Procellariiformes ";"Diomedeidae";"Thalassarche ";"Thalassarche melanophris";"South West South Atlantic Ocean";"Uruguay";2005;2013;"From 2005 to 2012 in commercial vessels, from 2009 to 2013 in research vessels.";"Seawater";"Only one individuals (3.1%) contained debris in its stomachs. A pellet was recorded.";"Jiménez, S., Domingo, A., Brazeiro, A., Defeo, O. & Phillips, R.A. 2015. Marine debris ingestion by albatrosses in the southwest Atlantic Ocean. Marine Pollution Bulletin, 96(1-2), 149-154.";"https://doi.org/10.1016/j.marpolbul.2015.05.034"
"Crustacean (Marine)";"Decapoda";"Ocypodidae ";"Uca";"Uca rapax";"West South Atlantic Ocean";"Brazil";2013;2013;"July 2013";"Seawater";"Laboratory experiment. Unnacceptable  scientific name, see Minuca rapax.";"Brennecke, D., Ferreira, E.C., Costa, T.M., Appel, D., da Gama, B.A. & Lenz, M. 2015. Ingested microplastics (> 100 μm) are translocated to organs of the tropical fiddler crab Uca rapax. Marine Pollution Bulletin, 96(1-2), 491-495.";"https://doi.org/10.1016/j.marpolbul.2015.05.001"
"Crustacean (Marine)";"Decapoda";"Ocypodidae ";"Minuca";"Minuca rapax";"West South Atlantic Ocean";"Brazil";2013;2013;"July 2013";"Seawater";"In the publication was referred as Uca rapax. Laboratory experiment";"Brennecke, D., Ferreira, E.C., Costa, T.M., Appel, D., da Gama, B.A. & Lenz, M. 2015. Ingested microplastics (> 100 μm) are translocated to organs of the tropical fiddler crab Uca rapax. Marine Pollution Bulletin, 96(1-2), 491-495.";"https://doi.org/10.1016/j.marpolbul.2015.05.001"
"Crustacean (Marine)";"Decapoda";"Crangonidae ";"Crangon";"Crangon crangon";"North Sea";"UK";2014;2014;"April 2014";"Seawater";"A total of 1.76 ± 1.64 number of microplastics per gram of wet weight were reported (n=5)";"Devriese, L.I., Van der Meulen, M.D., Maes, T., Bekaert, K., Paul-Pont, I., Frère, L., Robbens, J. & Vethaak, A.D. 2015. Microplastic contamination in brown shrimp (Crangon crangon, Linnaeus 1758) from coastal waters of the Southern North Sea and Channel area. Marine Pollution Bulletin, 98(1-2), 179-187.";"https://doi.org/10.1016/j.marpolbul.2015.06.051"
"Crustacean (Marine)";"Decapoda";"Crangonidae ";"Crangon";"Crangon crangon";"North Sea";"France";2013;213;"April 2013";"Seawater";"A total of 1.21 ± 1.75 number of microplastics per gram of wet weight were reported (n=5)";"Devriese, L.I., Van der Meulen, M.D., Maes, T., Bekaert, K., Paul-Pont, I., Frère, L., Robbens, J. & Vethaak, A.D. 2015. Microplastic contamination in brown shrimp (Crangon crangon, Linnaeus 1758) from coastal waters of the Southern North Sea and Channel area. Marine Pollution Bulletin, 98(1-2), 179-187.";"https://doi.org/10.1016/j.marpolbul.2015.06.051"
"Crustacean (Marine)";"Decapoda";"Crangonidae ";"Crangon";"Crangon crangon";"North Sea";"Belgium";2013;2014;"From March 2013 to March 2014";"Seawater";"From 0.03 ± 0.04 to 1.92 ± 0.61 number of microplastics per gram of wet weight were reported (n=150)";"Devriese, L.I., Van der Meulen, M.D., Maes, T., Bekaert, K., Paul-Pont, I., Frère, L., Robbens, J. & Vethaak, A.D. 2015. Microplastic contamination in brown shrimp (Crangon crangon, Linnaeus 1758) from coastal waters of the Southern North Sea and Channel area. Marine Pollution Bulletin, 98(1-2), 179-187.";"https://doi.org/10.1016/j.marpolbul.2015.06.051"
"Crustacean (Marine)";"Decapoda";"Crangonidae ";"Crangon";"Crangon crangon";"North Sea";"The Netherlands";2014;2014;"June 2014";"Seawater";"A total of 0.40 ± 0.56 number of microplastics per gram of wet weight were reported (n=5)";"Devriese, L.I., Van der Meulen, M.D., Maes, T., Bekaert, K., Paul-Pont, I., Frère, L., Robbens, J. & Vethaak, A.D. 2015. Microplastic contamination in brown shrimp (Crangon crangon, Linnaeus 1758) from coastal waters of the Southern North Sea and Channel area. Marine Pollution Bulletin, 98(1-2), 179-187.";"https://doi.org/10.1016/j.marpolbul.2015.06.051"
"Freshwater Bird";"Anseriformes";"Anatidae";"Anas";"Anas rubripes";"North West North Atlantic Ocean";"Canada";2014;2014;"In Winter of 2014";"Freshwater";"A total of six out of 87 individuals (6.9%) contained plastic items in their stomachs.";"English, M.D., Robertson, G.J., Avery-Gomm, S., Pirie-Hay, D., Roul, S., Ryan, P.C., Wilhelm, S.I. & Mallory, M.L. 2015. Plastic and metal ingestion in three species of coastal waterfowl wintering in Atlantic Canada. Marine Pollution Bulletin, 98(1-2), 349-353.";"https://doi.org/10.1016/j.marpolbul.2015.05.063"
"Freshwater Bird";"Anseriformes";"Anatidae";"Anas";"Anas platyrhynchos";"North West North Atlantic Ocean";"Canada";2014;2015;"In Winters of 2014 and 2015";"Freshwater";"A total of six out of 13 individuals (46.1%) contained plastic items in their stomachs.";"English, M.D., Robertson, G.J., Avery-Gomm, S., Pirie-Hay, D., Roul, S., Ryan, P.C., Wilhelm, S.I. & Mallory, M.L. 2015. Plastic and metal ingestion in three species of coastal waterfowl wintering in Atlantic Canada. Marine Pollution Bulletin, 98(1-2), 349-353.";"https://doi.org/10.1016/j.marpolbul.2015.05.063"
"Freshwater Bird";"Anseriformes";"Anatidae";"Somateria ";"Somateria mollissima";"North West North Atlantic Ocean";"Canada";2013;2014;"From 21 December 2013 to 17 January 2014";"Freshwater";"A total of one out of 48 individuals (2.1%) contained plastic items in their stomachs.";"English, M.D., Robertson, G.J., Avery-Gomm, S., Pirie-Hay, D., Roul, S., Ryan, P.C., Wilhelm, S.I. & Mallory, M.L. 2015. Plastic and metal ingestion in three species of coastal waterfowl wintering in Atlantic Canada. Marine Pollution Bulletin, 98(1-2), 349-353.";"https://doi.org/10.1016/j.marpolbul.2015.05.063"
"Marine Fish";"Clupeiformes";"Clupeidae";"Alosa";"Alosa fallax";"East North Atlantic Ocean";"Portugal";2013;2013;"From 15th March to 18th July 2013";"Seawater";"One individual was investigated and contained plastic in its stomach.";"Neves, D., Sobral, P., Ferreira, J.L. & Pereira, T. 2015. Ingestion of microplastics by commercial fish off the Portuguese coast. Marine Pollution Bulletin, 101(1), 119-126.";"https://doi.org/10.1016/j.marpolbul.2015.11.008"
"Marine Fish";"Eupercaria";"Sciaenidae";"Argyrosomus";"Argyrosomus regius";"East North Atlantic Ocean";"Portugal";2013;2013;"From 15th March to 18th July 2013";"Seawater";"A total of three out of five individuals (60%) contained plastic in their digestive tracts.";"Neves, D., Sobral, P., Ferreira, J.L. & Pereira, T. 2015. Ingestion of microplastics by commercial fish off the Portuguese coast. Marine Pollution Bulletin, 101(1), 119-126.";"https://doi.org/10.1016/j.marpolbul.2015.11.008"
"Marine Fish";"Eupercaria";"Sparidae";"Boops";"Boops boops ";"East North Atlantic Ocean";"Portugal";2013;2013;"From 15th March to 18th July 2013";"Seawater";"A total of three out of 32e individuals (9%) contained plastic in their digestive tracts.";"Neves, D., Sobral, P., Ferreira, J.L. & Pereira, T. 2015. Ingestion of microplastics by commercial fish off the Portuguese coast. Marine Pollution Bulletin, 101(1), 119-126.";"https://doi.org/10.1016/j.marpolbul.2015.11.008"
"Marine Fish";"Scombriformes";"Bramidae";"Brama";"Brama brama";"East North Atlantic Ocean";"Portugal";2013;2013;"From 15th March to 18th July 2013";"Seawater";"One out of three individuals (33%) contained plastic in their digestive tracts.";"Neves, D., Sobral, P., Ferreira, J.L. & Pereira, T. 2015. Ingestion of microplastics by commercial fish off the Portuguese coast. Marine Pollution Bulletin, 101(1), 119-126.";"https://doi.org/10.1016/j.marpolbul.2015.11.008"
"Marine Fish";"Eupercaria";"Sparidae";"Dentex";"Dentex macrophthalmus";"East North Atlantic Ocean";"Portugal";2013;2013;"From 15th March to 18th July 2013";"Seawater";"One individual was investigated and contained plastic in its stomach.";"Neves, D., Sobral, P., Ferreira, J.L. & Pereira, T. 2015. Ingestion of microplastics by commercial fish off the Portuguese coast. Marine Pollution Bulletin, 101(1), 119-126.";"https://doi.org/10.1016/j.marpolbul.2015.11.008"
"Marine Fish";"Pleuronectiformes";"Scophthalmidae";"Lepidorhombus";"Lepidorhombus boscii";"East North Atlantic Ocean";"Portugal";2013;2013;"From 15th March to 18th July 2013";"Seawater";"One of the two individuals (50%) investigated contained plastic in their digestive tracts.";"Neves, D., Sobral, P., Ferreira, J.L. & Pereira, T. 2015. Ingestion of microplastics by commercial fish off the Portuguese coast. Marine Pollution Bulletin, 101(1), 119-126.";"https://doi.org/10.1016/j.marpolbul.2015.11.008"
"Marine Fish";"Lophiiformes";"Lophiidae";"Lophius";"Lophius piscatorius";"East North Atlantic Ocean";"Portugal";2013;2013;"From 15th March to 18th July 2013";"Seawater";"One of the two individuals (50%) investigated contained plastic in their digestive tracts.";"Neves, D., Sobral, P., Ferreira, J.L. & Pereira, T. 2015. Ingestion of microplastics by commercial fish off the Portuguese coast. Marine Pollution Bulletin, 101(1), 119-126.";"https://doi.org/10.1016/j.marpolbul.2015.11.008"
"Marine Fish";"Gadiformes";"Merluccidae";"Merluccius";"Merluccius merluccius";"East North Atlantic Ocean";"Portugal";2013;2013;"From 15th March to 18th July 2013";"Seawater";"A total of three out of 12 individuals (25%) contained plastic in their digestive tracts.";"Neves, D., Sobral, P., Ferreira, J.L. & Pereira, T. 2015. Ingestion of microplastics by commercial fish off the Portuguese coast. Marine Pollution Bulletin, 101(1), 119-126.";"https://doi.org/10.1016/j.marpolbul.2015.11.008"
"Marine Fish";"Mulliformes";"Mullidae";"Mullus";"Mullus surmulletus";"East North Atlantic Ocean";"Portugal";2013;2013;"From 15th March to 18th July 2013";"Seawater";"All individuals (n=4) contained plastics in their digestive ttracts.";"Neves, D., Sobral, P., Ferreira, J.L. & Pereira, T. 2015. Ingestion of microplastics by commercial fish off the Portuguese coast. Marine Pollution Bulletin, 101(1), 119-126.";"https://doi.org/10.1016/j.marpolbul.2015.11.008"
"Marine Fish";"Eupercaria";"Sparidae";"Pagellus";"Pagellus acarne";"East North Atlantic Ocean";"Portugal";2013;2013;"From 15th March to 18th July 2013";"Seawater";"One individual was investigated and contained plastic in its stomach.";"Neves, D., Sobral, P., Ferreira, J.L. & Pereira, T. 2015. Ingestion of microplastics by commercial fish off the Portuguese coast. Marine Pollution Bulletin, 101(1), 119-126.";"https://doi.org/10.1016/j.marpolbul.2015.11.008"
"Marine Fish";"Rajiformes";"Rajidae";"Raja";"Raja asterias";"East North Atlantic Ocean";"Portugal";2013;2013;"From 15th March to 18th July 2013";"Seawater";"A total of three out of seven individuals (43%) contained plastic in their digestive tracts.";"Neves, D., Sobral, P., Ferreira, J.L. & Pereira, T. 2015. Ingestion of microplastics by commercial fish off the Portuguese coast. Marine Pollution Bulletin, 101(1), 119-126.";"https://doi.org/10.1016/j.marpolbul.2015.11.008"
"Marine Fish";"Scombriformes";"Scombridae";"Scomber";"Scomber japonicus";"East North Atlantic Ocean";"Portugal";2013;2013;"From 15th March to 18th July 2013";"Seawater";"A total of 11 out of 35 individuals (31%) contained plastic in their digestive tracts. Unnacceptable  name, see Scomber colias.";"Neves, D., Sobral, P., Ferreira, J.L. & Pereira, T. 2015. Ingestion of microplastics by commercial fish off the Portuguese coast. Marine Pollution Bulletin, 101(1), 119-126.";"https://doi.org/10.1016/j.marpolbul.2015.11.008"
"Marine Fish";"Scombriformes";"Scombridae";"Scomber";"Scomber colias";"East North Atlantic Ocean";"Portugal";2013;2013;"From 15th March to 18th July 2013";"Seawater";"In the publication was referred as Scomber japonicus. A total of 11 out of 35 individuals (31%) contained plastic in their digestive tracts. Unnacceptable  name, see Scomber colias.";"Neves, D., Sobral, P., Ferreira, J.L. & Pereira, T. 2015. Ingestion of microplastics by commercial fish off the Portuguese coast. Marine Pollution Bulletin, 101(1), 119-126.";"https://doi.org/10.1016/j.marpolbul.2015.11.008"
"Marine Fish";"Scombriformes";"Scombridae";"Scomber";"Scomber scombrus";"East North Atlantic Ocean";"Portugal";2013;2013;"From 15th March to 18th July 2013";"Seawater";"A total of four out of 13 individuals (31%) contained plastic in their digestive tracts.";"Neves, D., Sobral, P., Ferreira, J.L. & Pereira, T. 2015. Ingestion of microplastics by commercial fish off the Portuguese coast. Marine Pollution Bulletin, 101(1), 119-126.";"https://doi.org/10.1016/j.marpolbul.2015.11.008"
